,0
0,Idaho
1,Illinois
2,Indiana
3,Iowa
4,Maine
5,Maryland
6,Massachusetts
7,Minnesota
8,Mississippi
9,Missouri
10,Nebraska
11,Oklahoma
12,Pennsylvania
13,Rhode Island
14,Tennessee
15,Virginia
16,West Virginia
17,Wisconsin
18,Wyoming
